"","Group.1","X","Y","AppliedRate","SWATHWIDTH","DISTANCE","Heading","ControlRate","TargetRate","Elevation","Variety"
"5177","2018-05-20T20:58:49.299Z",-97.6049299946162,44.0866021548619,27526.7173851633,2.5,7.94523169,179.67834204,27500.14789776,27498.38939021,1501.24597104,"4296 VT2P"
"5178","2018-05-20T20:58:50.299Z",-97.6049296307542,44.0865805440171,27573.9307100933,2.5,7.87961489,179.85834204,27500.14789776,27498.38939021,1501.1278608,"4296 VT2P"
"5179","2018-05-20T20:58:51.299Z",-97.6049288323745,44.0865591142233,27613.0503221767,2.5,7.81399809,180.14834204,27500.14789776,27498.38939021,1501.07536736,"4296 VT2P"
"5180","2018-05-20T20:58:52.299Z",-97.6049287259459,44.0865376262228,27583.37337508,2.5,7.84680649,179.81834204,27500.14789776,27498.38939021,1501.02615477,"4296 VT2P"
"5181","2018-05-20T20:58:53.300Z",-97.6049289099532,44.0865160841351,27595.5139443433,2.5,7.84680649,179.60834204,27500.14789776,27498.38939021,1500.91132537,"4296 VT2P"
"5182","2018-05-20T20:58:54.300Z",-97.6049283485642,44.0864944928017,27583.3733750767,2.5,7.87961489,179.89834204,27500.14789776,27498.38939021,1500.78665345,"4296 VT2P"
"5183","2018-05-20T20:58:55.299Z",-97.6049278267075,44.0864731737055,27563.1390929667,2.5,7.7811897,180.07834204,27500.14789776,27498.38939021,1500.76040673,"4296 VT2P"
"5184","2018-05-20T20:58:56.300Z",-97.6049274639977,44.0864517116349,27555.0453801233,2.5,7.81399809,180.22834204,27500.14789776,27498.38939021,1500.76696841,"4296 VT2P"
"5185","2018-05-20T20:58:57.299Z",-97.6049271398505,44.0864301739027,27845.0700903933,2.5,7.84680649,180.04834204,28000.06956114,27998.8506344467,1500.68822826,"4296 VT2P"
"5186","2018-05-20T20:58:58.299Z",-97.6049271632824,44.0864087155584,27611.7013700367,2.5,7.81399809,179.74834204,28000.06956114,27998.8506344467,1500.62261146,"4296 VT2P"
"5187","2018-05-20T20:58:59.300Z",-97.6049270909938,44.0863872540941,27735.8049669867,2.5,7.81399809,180.01834204,28000.06956114,27998.8506344467,1500.50450122,"4296 VT2P"
"5188","2018-05-20T20:59:00.299Z",-97.6049262178574,44.0863658884038,27707.47697203,2.5,7.7811897,180.25834204,28000.06956114,27998.8506344467,1500.46513114,"4296 VT2P"
"5189","2018-05-20T20:59:01.299Z",-97.6049259444247,44.0863445072948,27776.27353121,2.5,7.81399809,180.13834204,27500.14789776,27498.38939021,1500.37982931,"4296 VT2P"
"5190","2018-05-20T20:59:02.299Z",-97.6049259809004,44.0863229571731,27788.41410048,2.5,7.84680649,179.82834204,27500.14789776,27498.38939021,1500.38967183,"4296 VT2P"
"5191","2018-05-20T20:59:03.299Z",-97.6049255875675,44.0863013535034,27870.7001810667,2.5,7.87961489,180.10834204,27500.14789776,27498.38939021,1500.24531487,"4296 VT2P"
"5192","2018-05-20T20:59:04.299Z",-97.6049251725471,44.0862790989699,27811.3462868733,2.5,8.10927369,180.53834204,27500.14789776,27498.38939021,1499.88770332,"4296 VT2P"
"5193","2018-05-20T20:59:05.299Z",-97.604925363663,44.0862579426393,27644.0762214133,2.5,7.7155729,180.08834204,27500.14789776,27498.38939021,1499.71053797,"4296 VT2P"
"5194","2018-05-20T20:59:06.299Z",-97.604925687329,44.0862382135187,27553.69642798,2.5,7.19063851,179.94834204,27500.14789776,27498.38939021,1499.82208652,"4296 VT2P"
"5195","2018-05-20T20:59:07.299Z",-97.6049249660013,44.0862185696357,27528.0663373033,2.5,7.15783012,180.22834204,27500.14789776,27498.38939021,1500.05174532,"4296 VT2P"
"5196","2018-05-20T20:59:08.299Z",-97.6049253193325,44.0861974791532,27609.0034657567,2.5,7.6827645,180.15834204,27500.14789776,27498.38939021,1500.25187655,"4296 VT2P"
"5197","2018-05-20T20:59:09.299Z",-97.6049248530021,44.0861756216358,27610.3524178933,2.5,7.97804009,180.22834204,27500.14789776,27498.38939021,1500.5274671,"4296 VT2P"
"5198","2018-05-20T20:59:10.299Z",-97.6049252789972,44.0861536370949,27613.0503221767,2.5,8.01084849,180.01834204,27500.14789776,27498.38939021,1500.44872694,"4296 VT2P"
"5199","2018-05-20T20:59:11.299Z",-97.6049250808075,44.0861324618387,27564.4880451067,2.5,7.7155729,180.05834204,27500.14789776,27498.38939021,1500.54715214,"4296 VT2P"
"5200","2018-05-20T20:59:12.299Z",-97.6049249657129,44.0861119117068,27557.7432844,2.5,7.48591411,180.07834204,27500.14789776,27498.38939021,1500.5766797,"4296 VT2P"
"5201","2018-05-20T20:59:13.299Z",-97.6049251287178,44.0860902029448,27483.55091666,2.5,7.91242329,179.65834204,27500.14789776,27498.38939021,1500.65213902,"4296 VT2P"
"5202","2018-05-20T20:59:14.300Z",-97.6049244804384,44.0860684044726,27403.9627403533,2.5,7.94523169,179.50834204,27500.14789776,27498.38939021,1500.80305765,"4296 VT2P"
"5203","2018-05-20T20:59:15.299Z",-97.6049242127393,44.0860468510626,27402.61378821,2.5,7.84680649,179.23834204,27500.14789776,27498.38939021,1500.81618101,"4296 VT2P"
"5204","2018-05-20T20:59:16.299Z",-97.6049238680645,44.0860251348146,27441.7334002933,2.5,7.91242329,179.37834204,27500.14789776,27498.38939021,1500.80961933,"4296 VT2P"
"5205","2018-05-20T20:59:17.300Z",-97.6049228149514,44.0860034460323,27440.3844481533,2.5,7.91242329,180.02834204,27500.14789776,27498.38939021,1500.82930437,"4296 VT2P"
"5206","2018-05-20T20:59:18.298Z",-97.6049222676752,44.0859817350879,27354.0515111433,2.5,7.91242329,180.29834204,27500.14789776,27498.38939021,1500.84242773,"4296 VT2P"
"5207","2018-05-20T20:59:19.300Z",-97.6049221326672,44.0859601146403,27344.6088461567,2.5,7.87961489,180.08834204,27500.14789776,27498.38939021,1500.78337261,"4296 VT2P"
"5208","2018-05-20T20:59:20.300Z",-97.6049219164279,44.0859384006352,27354.0515111433,2.5,7.91242329,179.92834204,27500.14789776,27498.38939021,1500.75384505,"4296 VT2P"
"5209","2018-05-20T20:59:21.299Z",-97.604922278288,44.0859167955601,27386.4263625233,2.5,7.87961489,179.74834204,27500.14789776,27498.38939021,1500.76368757,"4296 VT2P"
"5210","2018-05-20T20:59:22.299Z",-97.6049217414314,44.0858952382963,27391.8221710867,2.5,7.84680649,180.13834204,27500.14789776,27498.38939021,1500.58324138,"4296 VT2P"
"5211","2018-05-20T20:59:23.300Z",-97.6049215578653,44.0858738714055,27398.56693179,2.5,7.7811897,180.25834204,27500.14789776,27498.38939021,1500.64557734,"4296 VT2P"
"5212","2018-05-20T20:59:24.300Z",-97.604921038432,44.0858523702965,27441.7334002933,2.5,7.84680649,180.13834204,27500.14789776,27498.38939021,1500.61604978,"4296 VT2P"
"5213","2018-05-20T20:59:25.299Z",-97.6049209393367,44.0858308586057,27455.2229217033,2.5,7.84680649,179.73834204,27500.14789776,27498.38939021,1500.57011802,"4296 VT2P"
"5214","2018-05-20T20:59:26.300Z",-97.6049213229602,44.0858092211375,27484.8998688,2.5,7.87961489,179.60834204,27500.14789776,27498.38939021,1500.60292642,"4296 VT2P"
"5215","2018-05-20T20:59:27.300Z",-97.604920960907,44.0857880539692,27426.8949267467,2.5,7.7155729,180.03834204,27500.14789776,27498.38939021,1500.62261146,"4296 VT2P"
"5216","2018-05-20T20:59:28.300Z",-97.6049198571851,44.0857660701847,27426.8949267433,2.5,8.01084849,180.61834204,27500.14789776,27498.38939021,1500.69807078,"4296 VT2P"
"5217","2018-05-20T20:59:29.299Z",-97.6049197092916,44.0857442770827,27426.8949267433,2.5,7.94523169,180.16834204,27500.14789776,27498.38939021,1500.73744086,"4296 VT2P"
"5218","2018-05-20T20:59:30.299Z",-97.6049200204816,44.0857227067383,27428.2438788867,2.5,7.87961489,179.70834204,27500.14789776,27498.38939021,1500.76368757,"4296 VT2P"
