"","Group.1","X","Y","AppliedRate","SWATHWIDTH","DISTANCE","Heading","ControlRate","TargetRate","Elevation","Variety"
"105","2018-05-20T13:21:50.200Z",-97.5977399002798,44.0953412530899,25848.62092201,2.5,7.48813884,91.1086972,25999.95644395,25997.0056575,1522.0202028,"5299 VT2P"
"106","2018-05-20T13:21:51.200Z",-97.5977140656394,44.0953412369776,25833.78244846,2.5,6.89758766,90.5886972,25999.95644395,25997.0056575,1522.07925792,"5299 VT2P"
"107","2018-05-20T13:21:52.201Z",-97.597682687299,44.0953400994782,25837.8293048833,2.5,8.27554042,89.7186972,25999.95644395,25997.0056575,1522.10878547,"5299 VT2P"
"108","2018-05-20T13:21:53.200Z",-97.5976541005484,44.0953403523742,25862.11044342,2.5,7.52094724,90.7986972,25999.95644395,25997.0056575,1522.09894295,"5299 VT2P"
"109","2018-05-20T13:21:54.200Z",-97.5976276122746,44.0953408321374,26091.4323073533,2.5,6.96320446,91.8486972,25999.95644395,25997.0056575,1522.01364112,"5299 VT2P"
"110","2018-05-20T13:21:55.200Z",-97.5975969518425,44.0953403810872,26096.8281159167,2.5,8.07869003,91.6586972,25999.95644395,25997.0056575,1521.87584584,"5299 VT2P"
"111","2018-05-20T13:21:56.200Z",-97.5975686178416,44.0953397280944,26080.6406902267,2.5,7.45533045,91.6586972,25999.95644395,25997.0056575,1521.91849676,"5299 VT2P"
"112","2018-05-20T13:21:57.200Z",-97.5975415300469,44.0953401803739,26104.9218287633,2.5,7.12724646,92.0886972,25999.95644395,25997.0056575,1521.84959912,"5299 VT2P"
"113","2018-05-20T13:21:58.201Z",-97.5975108456164,44.0953388800544,26158.8799143933,2.5,8.11149842,91.2486972,25999.95644395,25997.0056575,1521.75117393,"5299 VT2P"
"114","2018-05-20T13:21:59.200Z",-97.5974819450008,44.0953378426095,26156.18201011,2.5,7.61937244,91.0686972,25999.95644395,25997.0056575,1521.72820805,"5299 VT2P"
"115","2018-05-20T13:22:00.200Z",-97.5974558256058,44.0953382587578,26148.0882972667,2.5,6.86477926,91.6686972,25999.95644395,25997.0056575,1521.73476973,"5299 VT2P"
"116","2018-05-20T13:22:01.200Z",-97.5974251613264,44.0953380101687,26152.1351536867,2.5,8.04588163,92.2586972,25999.95644395,25997.0056575,1521.90209256,"5299 VT2P"
"117","2018-05-20T13:22:02.200Z",-97.597396364681,44.095337339578,26137.2966801367,2.5,7.58656404,92.1386972,25999.95644395,25997.0056575,1521.93162012,"5299 VT2P"
"118","2018-05-20T13:22:03.200Z",-97.5973676320391,44.0953370298162,26103.5728766233,2.5,7.55375564,92.2686972,25999.95644395,25997.0056575,1521.97427104,"5299 VT2P"
"119","2018-05-20T13:22:04.200Z",-97.597339196263,44.0953360107474,26100.8749723367,2.5,7.48813884,91.8886972,25999.95644395,25997.0056575,1522.07925792,"5299 VT2P"
"120","2018-05-20T13:22:05.200Z",-97.5973104272102,44.0953347353496,26121.10925445,2.5,7.58656404,91.5986972,25999.95644395,25997.0056575,1522.04316868,"5299 VT2P"
"121","2018-05-20T13:22:06.201Z",-97.5972842236417,44.095334737637,26041.5210781467,2.5,6.89758766,92.0286972,25999.95644395,25997.0056575,1522.21377235,"5299 VT2P"
"122","2018-05-20T13:22:07.200Z",-97.5972536103318,44.0953339201883,26064.45326454,2.5,8.04588163,91.5486972,25999.95644395,25997.0056575,1522.39421854,"5299 VT2P"
"123","2018-05-20T13:22:08.200Z",-97.5972251260643,44.0953330943937,26063.1043123967,2.5,7.55375564,90.8286972,25999.95644395,25997.0056575,1522.59763062,"5299 VT2P"
"124","2018-05-20T13:22:09.201Z",-97.5971989784594,44.0953327966669,26087.3854509333,2.5,6.89758766,90.7386972,25999.95644395,25997.0056575,1522.6698091,"5299 VT2P"
"125","2018-05-20T13:22:10.200Z",-97.5971679298023,44.095333220505,26068.50012096,2.5,8.17711522,91.2386972,25999.95644395,25997.0056575,1522.77807681,"5299 VT2P"
"126","2018-05-20T13:22:11.200Z",-97.5971393102119,44.0953323824203,26095.4791637767,2.5,7.52094724,91.2686972,25999.95644395,25997.0056575,1522.92571461,"5299 VT2P"
"127","2018-05-20T13:22:12.201Z",-97.5971105847588,44.0953325435366,26113.0155416033,2.5,7.58656404,91.8686972,25999.95644395,25997.0056575,1523.11928416,"5299 VT2P"
"128","2018-05-20T13:22:13.201Z",-97.5970821006871,44.0953321131528,26156.1820101133,2.5,7.48813884,91.9886972,25999.95644395,25997.0056575,1523.286607,"5299 VT2P"
"129","2018-05-20T13:22:14.200Z",-97.5970535634548,44.0953317361613,26153.48410583,2.5,7.52094724,92.2886972,25999.95644395,25997.0056575,1523.48673823,"5299 VT2P"
"130","2018-05-20T13:22:15.201Z",-97.5970271907513,44.0953304810204,26119.76030231,2.5,6.96320446,91.8286972,25999.95644395,25997.0056575,1523.70327366,"5299 VT2P"
"131","2018-05-20T13:22:16.200Z",-97.5969962045974,44.0953303125434,26187.20790935,2.5,8.14430682,91.3486972,25999.95644395,25997.0056575,1523.90012406,"5299 VT2P"
