"","Timestamp","LonM","LatM","Moisture","DISTANCE","VRYIELDVOL"
"134","2018-10-01T17:07:51.012Z",541.159531651476,790.575507507515,19.87,5.01865404,194.61786708
"135","2018-10-01T17:07:52.009Z",543.270104540752,790.549630012969,17.55,5.01865404,215.65986505
"136","2018-10-01T17:07:53.006Z",545.315060333931,790.529724247691,17.55,4.85461204,225.73546088
"137","2018-10-01T17:07:54.006Z",547.363882465426,790.485046863804,17.55,4.88742044,223.02049186
"138","2018-10-01T17:07:55.010Z",549.424855903978,790.443244756564,17.55,4.92022884,187.59587212
"139","2018-10-01T17:07:56.002Z",551.469369840551,790.390605066723,17.55,4.85461204,174.03301144
"140","2018-10-01T17:07:57.005Z",553.489139279716,790.326464267147,19.72,4.82180364,166.02618843
"141","2018-10-01T17:07:58.005Z",555.523048430116,790.285215100626,19.72,4.85461204,154.58458656
"142","2018-10-01T17:07:59.013Z",557.55386451363,790.23887890087,19.72,4.82180364,152.33124121
"143","2018-10-01T17:08:00.004Z",559.646652304422,790.18646038543,19.72,4.98584564,156.90734873
"144","2018-10-01T17:08:01.006Z",561.794562884595,790.121877236266,19.72,5.11707923,159.82314076
"145","2018-10-01T17:08:02.011Z",563.955839904571,790.065256393055,19.72,5.14988763,152.23680968
"146","2018-10-01T17:08:03.008Z",566.131808960857,789.992710937936,19.72,5.18269603,119.66952358
"147","2018-10-01T17:08:07.000Z",576.133974933202,793.168695556068,19.72,5.74043881,107.29449635
"148","2018-10-01T17:08:10.007Z",582.903732081317,790.163122293199,19.72,5.51078002,137.02399887
"149","2018-10-01T17:08:11.002Z",584.655715078524,788.436964786614,19.72,4.98584564,60.35946436
"150","2018-10-01T17:08:12.010Z",586.261566556719,788.239676536125,19.72,3.87036007,52.13410562
"151","2018-10-01T17:08:13.006Z",587.142757803941,788.138267719468,19.72,2.13151493,61.3207697
"152","2018-10-01T17:08:31.006Z",546.201239248991,785.851553362152,21.69,3.1485753,21.25334061
"164","2018-10-01T17:08:48.999Z",581.085671348469,776.517388567592,19.9,5.31392963,71.77346898
"165","2018-10-01T17:08:50.003Z",583.990044096124,779.255319987263,19.9,5.28112123,87.36709728
"166","2018-10-01T17:08:51.005Z",585.969935013102,779.010810844912,19.9,4.78899524,76.94109861
"167","2018-10-01T17:08:52.003Z",587.812405724991,778.796381518592,19.9,4.42810285,91.24093105
"168","2018-10-01T17:08:53.010Z",589.191027594663,778.663565831638,19.9,3.31261729,114.15958382
"176","2018-10-01T17:09:40.010Z",500.374306661294,773.14026894091,20.76,4.72337844,111.92243157
"177","2018-10-01T17:09:41.010Z",502.49205988643,773.136066612353,20.76,5.05146243,132.82108885
"178","2018-10-01T17:09:42.012Z",504.688907130063,773.103000924615,20.76,5.21550443,145.29876461
"179","2018-10-01T17:09:43.013Z",506.968825177002,773.055890610525,20.76,5.41235482,158.62349785
"180","2018-10-01T17:09:44.007Z",509.170532939062,773.027580190491,20.76,5.24831283,167.33844799
"181","2018-10-01T17:09:45.008Z",511.377874487841,773.001149757584,20.76,5.24831283,194.75438082
"182","2018-10-01T17:09:46.010Z",513.591070761846,772.967420544285,20.76,5.28112123,191.82901942
"183","2018-10-01T17:09:47.011Z",515.749696580962,772.943533626424,20.76,5.14988763,193.92337051
"184","2018-10-01T17:09:48.012Z",517.855188016444,772.901510340854,20.76,5.01865404,191.5612528
"185","2018-10-01T17:09:49.006Z",519.744496522287,772.867449366738,17.36,4.49371965,227.32313323
"186","2018-10-01T17:09:50.010Z",521.597903408486,772.851635339674,17.36,4.39529446,226.34420199
